zip,donations,total,NAME,variable,estimate,moe,donations_per_1000
20601,6976,190404.72999999975,ZCTA5 20601,zip,26401,1090,264.23241543880914
20602,6758,109716.81999999996,ZCTA5 20602,zip,26078,964,259.14564000306774
20603,12854,248108.6100000006,ZCTA5 20603,zip,31401,1309,409.35002069997773
20606,11,131.43,ZCTA5 20606,zip,459,181,23.965141612200433
20607,6889,181393.81000000043,ZCTA5 20607,zip,11234,774,613.2277016200819
20608,337,2569.720000000003,ZCTA5 20608,zip,738,129,456.63956639566396
20609,61,2290,ZCTA5 20609,zip,1135,259,53.74449339207048
20611,46,1206,ZCTA5 20611,zip,1535,374,29.96742671009772
20612,21,399.17,ZCTA5 20612,zip,358,219,58.659217877094974
20613,6436,170352.85000000012,ZCTA5 20613,zip,13855,806,464.525442078672
20615,25,633,ZCTA5 20615,zip,329,145,75.98784194528875
20616,1703,38740.899999999994,ZCTA5 20616,zip,6106,611,278.90599410415984
20617,274,7542.26,ZCTA5 20617,zip,787,244,348.1575603557814
20618,313,6069.32,ZCTA5 20618,zip,454,145,689.4273127753304
20619,2733,63659.01000000006,ZCTA5 20619,zip,13533,1117,201.9507869651962
20620,393,7357.65,ZCTA5 20620,zip,1365,475,287.9120879120879
20621,66,967,ZCTA5 20621,zip,1046,347,63.09751434034416
20622,356,8922.109999999999,ZCTA5 20622,zip,6301,754,56.498968417711474
20623,2075,33616.96000000001,ZCTA5 20623,zip,2934,336,707.225630538514
20624,60,795,ZCTA5 20624,zip,1410,313,42.5531914893617
20625,454,9224.020000000004,ZCTA5 20625,zip,615,263,738.2113821138211
20626,240,3636.8600000000006,ZCTA5 20626,zip,335,119,716.4179104477612
20628,43,12163.26,ZCTA5 20628,zip,279,190,154.12186379928318
20629,37,813,ZCTA5 20629,zip,374,250,98.93048128342247
20630,371,24333.75,ZCTA5 20630,zip,377,160,984.0848806366048
20632,21,2812.5,ZCTA5 20632,zip,381,150,55.118110236220474
20634,1095,27256.079999999944,ZCTA5 20634,zip,7334,930,149.30460867193892
20636,2316,58391.37,ZCTA5 20636,zip,11523,1097,200.9893256964332
20637,2083,40167.06999999999,ZCTA5 20637,zip,5682,657,366.59626891939456
20639,3313,119571.28999999998,ZCTA5 20639,zip,15139,725,218.8387608164344
20640,1569,24599.82999999998,ZCTA5 20640,zip,10018,565,156.6180874426033
20645,199,10778.3,ZCTA5 20645,zip,998,267,199.3987975951904
20646,5566,130374.95000000004,ZCTA5 20646,zip,20974,756,265.3761800324211
20650,3964,144375.84000000023,ZCTA5 20650,zip,14096,838,281.21452894438136
20653,3608,81705.0799999999,ZCTA5 20653,zip,23546,1176,153.2319714601206
20657,5067,125720.03000000009,ZCTA5 20657,zip,18963,790,267.20455624110105
20658,288,10475.370000000004,ZCTA5 20658,zip,875,231,329.1428571428571
20659,2061,66697.38,ZCTA5 20659,zip,23358,1103,88.23529411764706
20660,5,190,ZCTA5 20660,zip,26,43,192.30769230769232
20662,316,3207.0199999999995,ZCTA5 20662,zip,2994,397,105.54442217768872
20664,225,19794.23,ZCTA5 20664,zip,3501,522,64.26735218508998
20667,37,1525.39,ZCTA5 20667,zip,701,358,52.78174037089872
20670,100,2542.67,ZCTA5 20670,zip,1552,269,64.43298969072164
20674,355,9889.67,ZCTA5 20674,zip,1059,525,335.2219074598678
20675,265,13192.1,ZCTA5 20675,zip,2161,484,122.62841277186489
20676,4042,51759.59,ZCTA5 20676,zip,4422,784,914.0660334690185
20677,666,19220.51,ZCTA5 20677,zip,2603,446,255.8586246638494
20678,2380,49224.85999999996,ZCTA5 20678,zip,12418,642,191.65727170236755
20680,87,6197.360000000001,ZCTA5 20680,zip,745,321,116.77852348993288
20684,90,3067.24,ZCTA5 20684,zip,1362,381,66.07929515418502
20685,2422,44961.41000000005,ZCTA5 20685,zip,6731,653,359.8276630515525
20686,776,26377.35,ZCTA5 20686,zip,1471,207,527.5322909585316
20687,80,2937.49,ZCTA5 20687,zip,449,203,178.17371937639197
20688,3855,84676.29000000008,ZCTA5 20688,zip,1739,356,2216.791259344451
20689,201,18325.74,ZCTA5 20689,zip,2247,339,89.45260347129506
20690,697,10894.629999999992,ZCTA5 20690,zip,753,260,925.6308100929615
20692,161,5585.110000000001,ZCTA5 20692,zip,1273,440,126.47289866457187
20693,226,5676.370000000001,ZCTA5 20693,zip,947,224,238.64836325237593
20695,4407,98344.96999999994,ZCTA5 20695,zip,7924,886,556.1585058051489
20701,127,5610.76,ZCTA5 20701,zip,0,12,Inf
20705,8949,263127.96999999945,ZCTA5 20705,zip,27873,1161,321.06339468302656
20706,12313,314519.8699999994,ZCTA5 20706,zip,42397,1276,290.42149208670423
20707,16759,392772.42999999854,ZCTA5 20707,zip,32556,761,514.7745423270673
20708,7135,155413.97000000026,ZCTA5 20708,zip,27089,1386,263.3910443353391
20710,645,28141.24,ZCTA5 20710,zip,9794,282,65.85664692668982
20711,1572,67949.20999999996,ZCTA5 20711,zip,7085,606,221.87720536344392
20712,4346,127500.21000000004,ZCTA5 20712,zip,9496,356,457.6663858466723
20714,2108,41288.52999999997,ZCTA5 20714,zip,4622,508,456.07961921246215
20715,17641,314771.77000000153,ZCTA5 20715,zip,26768,1118,659.0331739390317
20716,9976,277360.8199999999,ZCTA5 20716,zip,22083,725,451.7502150975864
20720,17274,545108.1899999978,ZCTA5 20720,zip,23502,1229,735.0012764871075
20721,27247,1016134.5099999992,ZCTA5 20721,zip,29811,1219,913.9914796551608
20722,4938,57960.55000000015,ZCTA5 20722,zip,6022,334,819.9933576884756
20723,12363,402577.18000000034,ZCTA5 20723,zip,35091,1093,352.31255877575444
20724,6276,110552.95999999986,ZCTA5 20724,zip,17736,1107,353.85656292286876
20732,4164,104842.46,ZCTA5 20732,zip,9664,527,430.8774834437086
20733,1910,50651.11,ZCTA5 20733,zip,2788,343,685.0789096126255
20735,15308,316990.6299999999,ZCTA5 20735,zip,39323,1300,389.2887114411413
20736,3030,72934.04000000002,ZCTA5 20736,zip,9491,607,319.24981561479296
20737,3706,102120.56000000011,ZCTA5 20737,zip,21787,998,170.1014366365264
20740,12587,317914.8899999996,ZCTA5 20740,zip,31848,706,395.2210499874403
20742,56,12867.61,ZCTA5 20742,zip,6719,498,8.334573597261496
20743,6852,165297.1299999999,ZCTA5 20743,zip,39234,1424,174.6444410460315
20744,31497,615052.9699999988,ZCTA5 20744,zip,54453,1412,578.4254311057242
20745,12754,230824.93999999977,ZCTA5 20745,zip,28472,1442,447.94886203989887
20746,5612,110835.93000000008,ZCTA5 20746,zip,27241,1308,206.01299511765353
20747,9223,156460.6300000003,ZCTA5 20747,zip,39946,1393,230.88669704100536
20748,12089,230580.97000000085,ZCTA5 20748,zip,38011,1490,318.0395148772724
20751,943,30918.42999999999,ZCTA5 20751,zip,2240,314,420.98214285714283
20754,1806,52836.890000000014,ZCTA5 20754,zip,6910,397,261.36034732272066
20755,718,13748.61,ZCTA5 20755,zip,10297,633,69.72904729532874
20758,169,6653.169999999999,ZCTA5 20758,zip,466,146,362.6609442060086
20759,4003,216717.4500000003,ZCTA5 20759,zip,5011,683,798.8425463979245
20762,160,2821.08,ZCTA5 20762,zip,2964,341,53.981106612685565
20763,1067,16640.289999999997,ZCTA5 20763,zip,2113,609,504.9692380501657
20764,1593,58113.28999999995,ZCTA5 20764,zip,4177,585,381.3741920038305
20765,376,18800.06,ZCTA5 20765,zip,415,129,906.0240963855422
20769,7457,183612.53000000017,ZCTA5 20769,zip,7439,823,1002.4196800645249
20770,17073,470197.8199999965,ZCTA5 20770,zip,24629,571,693.2071947703926
20772,24555,701566.209999997,ZCTA5 20772,zip,44948,1214,546.2979442911809
20774,28133,790564.2600000018,ZCTA5 20774,zip,46812,1494,600.9783816115525
20776,1344,43335.319999999985,ZCTA5 20776,zip,3149,612,426.8021594156875
20777,2707,111532.35999999994,ZCTA5 20777,zip,3616,396,748.6172566371681
20778,1436,39547.169999999984,ZCTA5 20778,zip,1972,429,728.1947261663287
20779,687,29339.599999999988,ZCTA5 20779,zip,985,210,697.4619289340102
20781,5853,231033.8899999996,ZCTA5 20781,zip,11626,648,503.44056425253746
20782,12863,595571.0799999984,ZCTA5 20782,zip,32553,1264,395.1402328510429
20783,5720,339753.4999999998,ZCTA5 20783,zip,45559,1506,125.551482692772
20784,5749,90245.51000000014,ZCTA5 20784,zip,30184,929,190.46514709780016
