zip,donations,total,NAME,variable,estimate,moe,donations_per_1000
20601,1425,35154.4,20601,zip,26401,1090,53.97522821105261
20602,897,22974.0399999999820602,zip,26078,964,34.39680957128614
20603,1449,54640.36000000012,20603,zip,31401,1309,46.14502722843221
20606,21,293.59999999999997,20606,zip,459,181,45.7516339869281
20607,578,12869.199999999992,20607,zip,11234,774,51.45095246572904
20608,26,960.7,20608,zip,738,129,35.230352303523034
20609,48,2305.4399999999996,20609,zip,1135,259,42.290748898678416
20611,35,826.2,20611,zip,1535,374,22.80130293159609
20612,146,717.07,20612,zip,358,219,407.8212290502793
20613,1242,21712.14999999992,20613,zip,13855,806,89.64272825694695
20615,156,2400.2400000000016,20615,zip,329,145,474.16413373860183
20616,292,6938.1399999999985,20616,zip,6106,611,47.821814608581725
20617,122,2581.13,20617,zip,787,244,155.01905972045742
20618,111,3086.189999999999,20618,zip,454,145,244.4933920704846
20619,1321,50741.130000000056,20619,zip,13533,1117,97.61324170546072
20620,163,5863.94,20620,zip,1365,475,119.41391941391942
20621,39,1845.489999999999,20621,zip,1046,347,37.2848948374761
20622,383,17405.309999999994,20622,zip,6301,754,60.78400253927948
20623,103,2147.4399999999996,20623,zip,2934,336,35.10565780504431
20624,18,727.2300000000001,20624,zip,1410,313,12.76595744680851
20625,26,1835.3699999999997,20625,zip,615,263,42.27642276422764
20626,16,1488.6,20626,zip,335,119,47.76119402985075
20628,88,2661.529999999999,20628,zip,279,190,315.4121863799283
20630,57,8129.480000000001,20630,zip,377,160,151.19363395225463
20632,74,1660.4599999999996,20632,zip,381,150,194.2257217847769
20634,2590,41293.05999999995,20634,zip,7334,930,353.14971366239433
20636,1831,39801.99999999989,20636,zip,11523,1097,158.89959212010763
20637,1342,50569.88999999994,20637,zip,5682,657,236.18444209785287
20639,4060,78700.29000000027,20639,zip,15139,725,268.1815179338133
20640,1132,23500.449999999957,20640,zip,10018,565,112.99660610900379
20645,104,2337.07,20645,zip,998,267,104.20841683366733
20646,5750,92164.8600000004,20646,zip,20974,756,274.1489463144846
20650,6687,111278.18000000074,20650,zip,14096,838,474.38989784335985
20653,2289,45948.46000000004,20653,zip,23546,1176,97.21396415527053
20657,1350,80439.92000000038,20657,zip,18963,790,71.19126720455624
20658,11,1121.18,20658,zip,875,231,12.571428571428571
20659,3755,91069.19000000054, 20659,zip,23358,1103,160.75862659474268
20660,2,2000,  20660,zip,26,43,76.92307692307693
20662,133,9742.390000000005,  20662,zip,2994,397,44.422177688710754
20664,281,8245.47,  20664,zip,3501,522,80.26278206226792
20667,30,1417.13,  20667,zip,701,358,42.796005706134096
20670,19,705.89,  20670,zip,1552,269,12.242268041237113
20674,209,9114.100000000006,  20674,zip,1059,525,197.35599622285173
20675,131,4188.69,  20675,zip,2161,484,60.62008329477094
20676,691,23146.85999999999,  20676,zip,4422,784,156.2641338760742
20677,10510,52261.30000000037,  20677,zip,2603,446,4037.648866692278
20678,2547,50940.49999999995,  20678,zip,12418,642,205.10549202770173
20680,44,1978.8,  20680,zip,745,321,59.060402684563755
20684,75,3987.879999999999,  20684,zip,1362,381,55.06607929515418
20685,1045,30678.48999999994,  20685,zip,6731,653,155.25181993760214
20686,5,389.33,  20686,zip,1471,207,3.399048266485384
20687,7,244.3,  20687,zip,449,203,15.590200445434299
