"",,,,,,,,,,
"Holland Charter Township,Precinct 1 - HOL",14,2,16,0,0,8,8,16,253,6.32%
"Holland Charter Township,Precinct 1 - WO",254,171,425,5,1,215,217,432,"1,542",28.02%
"Holland Charter Township,Precinct 2",124,98,222,4,0,105,122,227,"1,798",12.63%
"Holland Charter Township,Precinct 3",399,280,679,13,0,276,419,695,"2,327",29.87%
"Holland Charter Township,Precinct 4",277,204,481,9,0,128,363,491,"2,540",19.33%
"Holland Charter Township,Precinct 6",268,179,447,4,0,167,285,452,"2,600",17.38%
"Holland Charter Township,Precinct 7",370,213,583,10,0,231,368,599,"3,287",18.22%
"Holland Charter Township,Precinct 8",132,85,217,3,0,102,120,222,"1,905",11.65%
"Holland Charter Township,Precinct 11",182,110,292,3,0,124,172,296,"2,493",11.87%
"Park Township, Precinct 4",481,323,804,5,0,304,515,819,"2,143",38.22%
Totals,"2,501","1,665","4,166",56,1,"1,660","2,589","4,249","20,888",20.34%
